timestamp,share_history_count,login_history_count,browsing_history_count,like_list_count,favorite_sounds_count,favorite_videos_count,temperature,precipitation,weather_code,weather_description,hour,day_of_week,is_weekend,total_activity
2023-07-08 11:00:00,0.0,0.0,0.0,0.0,0.0,2.0,22.6,0.1,51,Drizzle,11,Saturday,True,2.0
2023-07-08 12:00:00,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.9,53,Rain,12,Saturday,True,1.0
2023-07-10 07:00:00,0.0,0.0,0.0,0.0,0.0,1.0,19.1,0.0,0,Clear sky,7,Monday,False,1.0
2023-07-10 18:00:00,0.0,0.0,0.0,0.0,0.0,6.0,28.1,0.0,0,Clear sky,18,Monday,False,6.0
2023-07-10 21:00:00,0.0,0.0,0.0,0.0,1.0,1.0,24.4,0.0,0,Clear sky,21,Monday,False,2.0
2023-07-10 22:00:00,0.0,0.0,0.0,0.0,0.0,1.0,22.9,0.0,0,Clear sky,22,Monday,False,1.0
2023-07-12 05:00:00,0.0,0.0,0.0,0.0,0.0,3.0,23.0,0.0,0,Clear sky,5,Wednesday,False,3.0
2023-07-12 06:00:00,0.0,0.0,0.0,0.0,0.0,3.0,22.7,0.0,0,Clear sky,6,Wednesday,False,3.0
2023-07-12 07:00:00,0.0,0.0,0.0,0.0,0.0,2.0,23.9,0.0,0,Clear sky,7,Wednesday,False,2.0
2023-07-13 07:00:00,0.0,0.0,0.0,0.0,0.0,1.0,22.8,0.0,0,Clear sky,7,Thursday,False,1.0
